"id","host_days","host_response_time","host_response_rate","host_acceptance_rate","host_is_superhost","host_listings_count","host_identity_verified","neighbourhood_cleansed","city","property_type","room_type","accommodates","bathrooms","bedrooms","beds","bed_type","price","security_deposit","cleaning_fee","guests_included","extra_people","minimum_nights","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","instant_bookable","cancellation_policy","reviews_per_month"
12874603,418,0,0,0,0,0.000999500333083423,1,"Jamaica Plain","Boston","Condominium","Private room",2,2,1,1,"Real Bed",4.24849524204936,0,0,1,0,0,74,9,8,9,8,8,9,0,1,3.13
12727401,249,1,1,1,0,0.000999500333083423,0,"Jamaica Plain","Boston","Apartment","Private room",2,1,1,1,"Real Bed",3.91202300542815,0,0,1,0,0,60,6,6,8,10,10,6,0,1,0.46
2077794,1846,1,1,0,0,0.000999500333083423,1,"Jamaica Plain","Boston","Apartment","Entire home/apt",4,1,1,1,"Real Bed",4.77912349311153,0,1,0,0,1.09861228866811,86,8,8,10,10,9,9,0,1,0.47
9712731,679,0,1,0,0,0.693647055601596,1,"Jamaica Plain","Boston","Condominium","Entire home/apt",3,1,1,2,"Real Bed",4.8283137373023,0,1,2,20,0,100,10,10,10,10,10,10,0,0,1.36
13677640,191,1,0,1,0,0.000999500333083423,0,"Jamaica Plain","Boston","Apartment","Private room",2,1,1,1,"Real Bed",3.97029191355212,0,0,1,0,0,80,6,7,10,8,9,9,1,1,2.05
3371091,1754,1,1,1,1,0.693647055601596,1,"Jamaica Plain","Boston","Apartment","Private room",4,1,1,1,"Real Bed",4.8283137373023,1,1,1,50,0,95,10,10,10,10,10,9,0,0,0.5
13512551,202,1,1,1,0,0.000999500333083423,0,"Jamaica Plain","Boston","House","Entire home/apt",6,2.5,4,4,"Real Bed",5.29330482472449,0,0,5,30,1.09861228866811,100,10,10,10,10,8,10,1,0,1
732999,1545,0,1,0,0,0.693647055601596,1,"Jamaica Plain","Boston","Apartment","Entire home/apt",4,1,2,2,"Real Bed",5.32300997913841,0,1,4,0,0.693147180559945,97,10,10,10,10,9,10,0,0,0.3
6106955,1810,0,1,1,0,0.000999500333083423,1,"Jamaica Plain","Boston","Condominium","Entire home/apt",5,1,2,2,"Real Bed",4.7361984483945,1,1,2,15,1.38629436111989,95,10,10,10,10,10,10,0,0,0.56
2698996,1005,1,1,1,1,0.000999500333083423,1,"Jamaica Plain","Boston","Apartment","Private room",2,1,1,1,"Real Bed",4.31748811353631,0,0,1,15,0.693147180559945,98,10,10,10,10,10,10,0,1,4.45
27611,2432,1,1,1,0,0.000999500333083423,1,"Jamaica Plain","Boston","Apartment","Entire home/apt",2,1,1,1,"Real Bed",5.22035582507832,1,1,2,0,1.09861228866811,86,9,10,10,10,10,9,0,0,0.29
4025194,1852,1,1,1,1,1.3865443298751,1,"Jamaica Plain","Boston","Apartment","Private room",2,1,1,1,"Real Bed",4.31748811353631,0,0,2,25,0,97,10,9,10,10,9,10,1,1,6.2
8336364,892,1,1,1,0,0.693647055601596,1,"Jamaica Plain","Boston","Apartment","Entire home/apt",4,2.5,2,2,"Real Bed",5.19295685089021,1,1,2,20,1.09861228866811,91.91666667,NA,NA,NA,10,10,NA,0,0,1.970908448
12071820,280,1,1,0,0,0.000999500333083423,0,"Jamaica Plain","Boston","Apartment","Shared room",2,1,1,1,"Pull-out Sofa",4.24849524204936,0,0,1,0,0,96,10,9,10,10,10,10,0,1,1.06
7910223,640,1,1,1,1,1.09894556645823,1,"Jamaica Plain","Boston","Bed & Breakfast","Entire home/apt",2,1,1,2,"Real Bed",5.01063529409626,0,1,2,15,0.693147180559945,96,10,10,10,10,9,9,0,0,5.74
4567815,1589,1,1,1,0,0.000999500333083423,1,"Jamaica Plain","Boston","Apartment","Entire home/apt",4,1,2,2,"Real Bed",4.78749174278205,0,1,1,0,0,96,10,10,9,10,9,10,0,1,0.49
12022134,883,1,1,1,0,0.000999500333083423,0,"Jamaica Plain","Boston","Apartment","Private room",2,2,1,1,"Real Bed",4.52178857704904,0,1,1,0,2.63905732961526,100,10,10,10,10,10,10,0,0,0.79
13513012,606,1,1,1,0,0.000999500333083423,1,"Jamaica Plain","Boston","Apartment","Private room",2,1,1,1,"Real Bed",4.43081679884331,1,0,0,0,1.09861228866811,100,10,10,10,10,10,10,0,1,3
3730447,1180,1,1,0,0,0.693647055601596,1,"Jamaica Plain","Boston","Apartment","Entire home/apt",4,1,2,2,"Real Bed",5.29831736654804,0,0,4,50,0.693147180559945,89,9,9,9,10,9,9,0,0,1.14
4149974,1222,1,1,1,1,0.000999500333083423,1,"Jamaica Plain","Boston","Apartment","Entire home/apt",2,1,1,1,"Real Bed",4.74493212836325,0,1,0,0,0.693147180559945,96,10,10,10,10,10,9,0,0,3.14
14933380,679,0,1,0,0,0.693647055601596,1,"Jamaica Plain","Boston","Apartment","Shared room",1,1,1,1,"Real Bed",3.89182029811063,0,0,1,0,0,91.91666667,NA,NA,NA,10,10,NA,0,0,1.970908448
6238463,621,1,1,0,1,0.000999500333083423,1,"Jamaica Plain","Boston","Townhouse","Private room",2,1,1,1,"Real Bed",4.55387689160054,0,1,1,0,0.693147180559945,98,10,10,10,10,10,10,0,0,2.12
1929406,1145,0,0,0,0,0.000999500333083423,0,"Jamaica Plain","Jamaica Plain","House","Entire home/apt",6,1,4,4,"Real Bed",5.61677109766657,1,1,1,0,1.09861228866811,100,10,10,10,10,10,10,0,0,0.03
4583526,778,1,1,1,1,0.000999500333083423,1,"Jamaica Plain","Boston","Apartment","Entire home/apt",9,1,4,4,"Real Bed",5.4380793089232,0,1,4,40,0.693147180559945,97,10,10,10,10,9,10,0,0,3.85
7287822,908,1,1,1,0,0.000999500333083423,1,"Jamaica Plain","Boston","Apartment","Entire home/apt",4,1,1,4,"Real Bed",4.86753445045558,0,1,3,30,0.693147180559945,99,10,10,10,10,10,10,0,1,4.55
8354938,2327,1,1,1,0,2.07956653386799,1,"Jamaica Plain","Boston","Apartment","Entire home/apt",5,1,2,3,"Real Bed",5.25749537202778,1,1,4,10,1.09861228866811,93,10,10,10,10,8,9,1,1,1.81
5025015,721,1,1,1,0,0.000999500333083423,0,"Jamaica Plain","Boston","Apartment","Entire home/apt",5,1,3,4,"Real Bed",5.16478597392351,1,1,1,0,0.693147180559945,85,9,8,9,10,8,9,1,1,5.39
4452800,1180,1,1,0,0,0.693647055601596,1,"Jamaica Plain","Boston","Apartment","Private room",2,1,1,1,"Real Bed",4.24849524204936,0,0,1,0,0,80,10,8,9,10,9,8,0,1,0.11
7554801,979,1,1,1,1,0.000999500333083423,1,"Jamaica Plain","Boston","Townhouse","Private room",2,1.5,1,1,"Real Bed",4.17438726989564,0,1,1,0,1.6094379124341,100,10,10,10,10,10,10,0,1,0.95
9349646,1537,1,0,0,0,0.693647055601596,1,"Jamaica Plain","Boston","Apartment","Private room",2,1,1,1,"Real Bed",4.60517018598809,0,0,1,0,0,100,10,10,10,10,10,10,0,1,0.39
6386351,599,1,1,1,0,0.000999500333083423,0,"Jamaica Plain","Boston","Apartment","Entire home/apt",3,1,1,1,"Real Bed",5.22035582507832,0,0,1,0,0,91.91666667,NA,NA,NA,10,10,NA,0,1,1.970908448
5124772,1861,1,1,1,0,0.000999500333083423,1,"Jamaica Plain","Boston","House","Entire home/apt",10,2.5,5,5,"Real Bed",5.52146091786225,1,1,4,25,1.6094379124341,87,9,9,9,10,7,9,0,0,0.22
3977877,976,1,1,1,0,0.000999500333083423,1,"Jamaica Plain","Boston","Apartment","Entire home/apt",2,1,1,1,"Real Bed",4.70048036579242,1,1,2,10,0,93,10,10,10,10,9,9,0,1,0.17
1754939,1185,1,1,1,0,0.000999500333083423,1,"Jamaica Plain","Boston","House","Entire home/apt",5,1.5,2,3,"Real Bed",5.01063529409626,0,0,1,0,0,91.91666667,NA,NA,NA,10,10,NA,0,1,1.970908448
6602167,756,1,1,1,0,1.09894556645823,1,"Jamaica Plain","Boston","Apartment","Entire home/apt",6,1,2,4,"Real Bed",5.12396397940326,1,1,1,0,0.693147180559945,89,9,10,10,9,8,9,1,1,5.61
3987926,1852,1,1,1,1,1.3865443298751,1,"Jamaica Plain","Boston","Apartment","Private room",2,1,1,1,"Real Bed",4.0943445622221,0,0,2,25,0,98,10,9,10,10,9,10,1,1,6.94
5729845,653,1,1,0,0,0.000999500333083423,1,"Jamaica Plain","Boston","Apartment","Private room",2,1,1,1,"Real Bed",4.07753744390572,0,1,1,10,0,90,9,9,10,10,9,9,0,1,2.78
9727523,398,1,1,1,0,0.693647055601596,0,"Jamaica Plain","Boston","House","Private room",2,1,1,1,"Real Bed",4.0943445622221,0,1,1,0,0,91,9,9,10,10,10,9,0,1,1.64
12463555,261,0,0,0,0,0.000999500333083423,1,"Jamaica Plain","Boston","Apartment","Entire home/apt",4,1,2,4,"Real Bed",4.97673374242057,0,1,3,25,0.693147180559945,94,10,10,10,9,10,10,1,1,1.69
9137560,432,1,1,1,0,0.000999500333083423,0,"Jamaica Plain","Boston","Apartment","Private room",2,1,1,1,"Real Bed",4.38202663467388,0,1,1,0,0,100,10,10,10,10,10,10,0,1,0.1
3616081,900,1,1,1,1,0.693647055601596,1,"Jamaica Plain","Boston","Apartment","Entire home/apt",3,1,1,2,"Real Bed",4.7361984483945,1,1,1,36,0.693147180559945,97,10,10,10,10,10,10,1,0,5.08
8908145,460,1,1,0,0,1.3865443298751,0,"Jamaica Plain","Boston","House","Private room",2,1,1,1,"Real Bed",5.13579843705026,1,0,2,50,0.693147180559945,80,9,10,10,10,10,8,0,1,0.42
554720,1652,1,1,1,0,0.000999500333083423,1,"Jamaica Plain","Boston","Apartment","Entire home/apt",6,2,2,2,"Real Bed",5.48063892334199,0,1,1,0,1.09861228866811,95,10,10,10,9,10,9,0,0,2.25
1551467,1947,1,1,1,0,0.000999500333083423,1,"Jamaica Plain","Boston","Apartment","Entire home/apt",4,1,2,2,"Real Bed",5.01063529409626,0,1,2,35,0.693147180559945,95,10,9,9,9,9,8,0,1,0.14
7743569,1457,1,1,1,0,1.60963789243677,1,"Jamaica Plain","Boston","Apartment","Private room",2,1,1,1,"Futon",4.23410650459726,0,1,1,9,1.09861228866811,98,10,10,10,10,10,10,0,0,0.88
732932,1545,0,1,0,0,0.693647055601596,1,"Jamaica Plain","Boston","Apartment","Private room",2,1,1,1,"Real Bed",4.38202663467388,0,1,1,0,1.09861228866811,95,10,10,10,10,9,9,0,0,0.38
749247,1535,1,1,1,1,0.693647055601596,1,"Jamaica Plain","Boston","Apartment","Private room",2,1,1,1,"Real Bed",4.44265125649032,0,0,1,10,0,97,10,10,10,10,10,9,0,1,1.46
